time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-31T23:07:43.630Z,45.1392,-106.9154,0,2.6,ml,,98,1.623,0.97,us,usc000tg0i,2015-03-17T02:38:31.040Z,"32 km NE of Ranchester, Wyoming",mining explosion,4,1.8,0.081,40,reviewed,us,us
2014-12-31T22:23:19.410Z,43.6052,-105.2467,0,3.3,ml,,78,1.016,0.72,us,usc000tg05,2015-03-17T02:38:31.040Z,"25 km SE of Wright, Wyoming",mining explosion,5.3,2,0.064,50,reviewed,us,us
2014-12-31T22:06:21.010Z,32.9414,-100.8872,2.51,2.8,mb_lg,,62,1.094,0.76,us,usc000tb1r,2015-03-17T02:38:31.040Z,"24 km N of Snyder, Texas",earthquake,4.9,7.2,0.111,26,reviewed,us,us
2014-12-31T18:31:39.990Z,32.9473,-100.8401,5,3.2,mb_lg,,50,1.058,0.84,us,usc000tazd,2022-07-27T12:12:24.766Z,"26 km NNE of Snyder, Texas",earthquake,4.3,2,0.057,95,reviewed,us,us
2014-12-31T14:11:43.400Z,36.8499,-97.7032,6.158,2.6,ml,,58,,0.35,us,usc000tdcv,2015-03-17T02:38:26.040Z,"5 km NNE of Medford, Oklahoma",earthquake,1.3,5,,,reviewed,tul,tul
2014-12-31T12:35:23.400Z,36.6675,-97.6154,5.096,2.6,ml,,62,,0.39,us,usc000tdc2,2015-03-17T02:38:25.040Z,"5 km WSW of Lamont, Oklahoma",earthquake,2.1,8,,,reviewed,tul,tul
2014-12-31T09:01:13.130Z,38.214,-122.327,8.759,2.54,md,75,70,0.02432,0.11,nc,nc72373016,2022-07-27T12:07:34.925Z,"7 km NW of American Canyon, California",earthquake,0.15,0.31,0.127,70,reviewed,nc,nc
2014-12-31T07:19:10.200Z,36.7211,-98.1713,5.836,3.1,ml,,103,,0.69,us,usc000taxd,2020-03-18T21:34:53.322Z,"3 km SSW of Nescatunga, Oklahoma",earthquake,2.2,7.6,,,reviewed,tul,tul
2014-12-31T06:27:41.910Z,34.6101667,-118.6353333,8.118,3.11,ml,55,50,0.07285,0.25,ci,ci37300496,2022-08-07T06:49:47.898Z,"14km N of Castaic, CA",earthquake,0.29,0.72,0.148,140,reviewed,ci,ci
2014-12-31T05:18:19.500Z,36.6561,-97.6392,6.866,2.6,ml,,139,,0.59,us,usc000tczp,2015-03-17T02:38:22.040Z,"8 km WSW of Lamont, Oklahoma",earthquake,1.2,7,,,reviewed,tul,tul
2014-12-31T04:49:33.600Z,36.822,-97.7109,5.391,2.8,ml,,71,,0.64,us,usc000taww,2022-08-07T05:52:42.254Z,"2 km NE of Medford, Oklahoma",earthquake,1.9,5.7,,,reviewed,tul,tul
2014-12-31T01:14:00.240Z,37.0578333,-97.646,5.37,2.58,ml,13,101,0.1419,0.06,ismpkansas,ismpkansas70061693,2015-07-19T22:04:15.150Z,"4 km NW of Caldwell, Kansas",earthquake,0.15,0.82,0.127,14,reviewed,ismp,ismp
2014-12-30T23:39:26.600Z,35.8042,-97.1317,6.701,2.6,ml,,96,,0.59,us,usc000tf1p,2015-03-17T02:38:18.040Z,"6 km N of Fallis, Oklahoma",earthquake,1.4,1.3,,,reviewed,tul,tul
